Option_ID,Option_Name_ID,//Option_Name,Grade,Option_Type,Option_Value
1305083,80340381,치명타 피해 증가,1505,05,0.18
1305084,80340381,치명타 피해 증가,1505,05,0.19
1305085,80340381,치명타 피해 증가,1505,05,0.20
1306086,80340382,로맨스 속성 강화,1501,06,0.02
1306087,80340382,로맨스 속성 강화,1501,06,0.03
1306088,80340382,로맨스 속성 강화,1501,06,0.04
1306089,80340382,로맨스 속성 강화,1502,06,0.04
1306090,80340382,로맨스 속성 강화,1502,06,0.05
1306091,80340382,로맨스 속성 강화,1502,06,0.06
1306092,80340382,로맨스 속성 강화,1502,06,0.07
1306093,80340382,로맨스 속성 강화,1503,06,0.07
1306094,80340382,로맨스 속성 강화,1503,06,0.08
1306095,80340382,로맨스 속성 강화,1503,06,0.09
1306096,80340382,로맨스 속성 강화,1504,06,0.09
1306097,80340382,로맨스 속성 강화,1504,06,0.10
1306098,80340382,로맨스 속성 강화,1504,06,0.11
1306099,80340382,로맨스 속성 강화,1505,06,0.11
1306100,80340382,로맨스 속성 강화,1505,06,0.12
1306101,80340383,모험 속성 강화,1501,06,0.02
1306102,80340383,모험 속성 강화,1501,06,0.03
1306103,80340383,모험 속성 강화,1501,06,0.04
1306104,80340383,모험 속성 강화,1502,06,0.04
1306105,80340383,모험 속성 강화,1502,06,0.05
1306106,80340383,모험 속성 강화,1502,06,0.06
1306107,80340383,모험 속성 강화,1502,06,0.07
1306108,80340383,모험 속성 강화,1503,06,0.07
1306109,80340383,모험 속성 강화,1503,06,0.08
1306110,80340383,모험 속성 강화,1503,06,0.09
1306111,80340383,모험 속성 강화,1504,06,0.09
1306112,80340383,모험 속성 강화,1504,06,0.10
1306113,80340383,모험 속성 강화,1504,06,0.11
1306114,80340383,모험 속성 강화,1505,06,0.11
1306115,80340383,모험 속성 강화,1505,06,0.12
1306116,80340384,코미디 속성 강화,1501,06,0.02
1306117,80340384,코미디 속성 강화,1501,06,0.03
1306118,80340384,코미디 속성 강화,1501,06,0.04
1306119,80340384,코미디 속성 강화,1502,06,0.04
1306120,80340384,코미디 속성 강화,1502,06,0.05
1306121,80340384,코미디 속성 강화,1502,06,0.06
1306122,80340384,코미디 속성 강화,1502,06,0.07
1306123,80340384,코미디 속성 강화,1503,06,0.07
1306124,80340384,코미디 속성 강화,1503,06,0.08
1306125,80340384,코미디 속성 강화,1503,06,0.09
1306126,80340384,코미디 속성 강화,1504,06,0.09
1306127,80340384,코미디 속성 강화,1504,06,0.10
1306128,80340384,코미디 속성 강화,1504,06,0.11
1306129,80340384,코미디 속성 강화,1505,06,0.11
1306130,80340384,코미디 속성 강화,1505,06,0.12
1306131,80340385,추리 속성 강화,1501,06,0.02
1306132,80340385,추리 속성 강화,1501,06,0.03
1306133,80340385,추리 속성 강화,1501,06,0.04
1306134,80340385,추리 속성 강화,1502,06,0.04
1306135,80340385,추리 속성 강화,1502,06,0.05
1306136,80340385,추리 속성 강화,1502,06,0.06
1306137,80340385,추리 속성 강화,1502,06,0.07
1306138,80340385,추리 속성 강화,1503,06,0.07
1306139,80340385,추리 속성 강화,1503,06,0.08
1306140,80340385,추리 속성 강화,1503,06,0.09
1306141,80340385,추리 속성 강화,1504,06,0.09
1306142,80340385,추리 속성 강화,1504,06,0.10
1306143,80340385,추리 속성 강화,1504,06,0.11
1306144,80340385,추리 속성 강화,1505,06,0.11
1306145,80340385,추리 속성 강화,1505,06,0.12
1306146,80340386,공포 속성 강화,1501,06,0.02
1306147,80340386,공포 속성 강화,1501,06,0.03
1306148,80340386,공포 속성 강화,1501,06,0.04
1306149,80340386,공포 속성 강화,1502,06,0.04
1306150,80340386,공포 속성 강화,1502,06,0.05
1306151,80340386,공포 속성 강화,1502,06,0.06
1306152,80340386,공포 속성 강화,1502,06,0.07
1306153,80340386,공포 속성 강화,1503,06,0.07
1306154,80340386,공포 속성 강화,1503,06,0.08
1306155,80340386,공포 속성 강화,1503,06,0.09
1306156,80340386,공포 속성 강화,1504,06,0.09
1306157,80340386,공포 속성 강화,1504,06,0.10
1306158,80340386,공포 속성 강화,1504,06,0.11
1306159,80340386,공포 속성 강화,1505,06,0.11
1306160,80340386,공포 속성 강화,1505,06,0.12
1307161,80340387,쿨타임 감소,1501,07,0.03
1307162,80340387,쿨타임 감소,1501,07,0.04
1307163,80340387,쿨타임 감소,1501,07,0.05
1307164,80340387,쿨타임 감소,1502,07,0.05
1307165,80340387,쿨타임 감소,1502,07,0.06
1307166,80340387,쿨타임 감소,1502,07,0.07
1307167,80340387,쿨타임 감소,1502,07,0.08
1307168,80340387,쿨타임 감소,1503,07,0.08
1307169,80340387,쿨타임 감소,1503,07,0.09
1307170,80340387,쿨타임 감소,1503,07,0.10
1307171,80340387,쿨타임 감소,1504,07,0.10
1307172,80340387,쿨타임 감소,1504,07,0.11
1307173,80340387,쿨타임 감소,1504,07,0.12
1307174,80340387,쿨타임 감소,1505,07,0.12
1307175,80340387,쿨타임 감소,1505,07,0.13
1307176,80340387,쿨타임 감소,1505,07,0.14
1307177,80340387,쿨타임 감소,1505,07,0.15
1308178,80340388,시전 속도 감소,1501,08,0.04
1308179,80340388,시전 속도 감소,1501,08,0.05
1308180,80340388,시전 속도 감소,1501,08,0.06
1308181,80340388,시전 속도 감소,1502,08,0.06
1308182,80340388,시전 속도 감소,1502,08,0.07
1308183,80340388,시전 속도 감소,1502,08,0.08
1308184,80340388,시전 속도 감소,1502,08,0.09
1308185,80340388,시전 속도 감소,1503,08,0.09
1308186,80340388,시전 속도 감소,1503,08,0.10
1308187,80340388,시전 속도 감소,1503,08,0.11
1308188,80340388,시전 속도 감소,1504,08,0.11
1308189,80340388,시전 속도 감소,1504,08,0.12
1308190,80340388,시전 속도 감소,1504,08,0.13
1308191,80340388,시전 속도 감소,1505,08,0.13
1308192,80340388,시전 속도 감소,1505,08,0.14
1308193,80340388,시전 속도 감소,1505,08,0.15
1308194,80340388,시전 속도 감소,1505,08,0.16
1310195,80340390,아이템 획득 확률 증가,1501,10,0.05
1310196,80340390,아이템 획득 확률 증가,1501,10,0.06
1310197,80340390,아이템 획득 확률 증가,1501,10,0.07
1310198,80340390,아이템 획득 확률 증가,1502,10,0.07
1310199,80340390,아이템 획득 확률 증가,1502,10,0.08
1310200,80340390,아이템 획득 확률 증가,1502,10,0.09
1310201,80340390,아이템 획득 확률 증가,1502,10,0.10
1310202,80340390,아이템 획득 확률 증가,1503,10,0.10
1310203,80340390,아이템 획득 확률 증가,1503,10,0.11
1310204,80340390,아이템 획득 확률 증가,1503,10,0.12
1310205,80340390,아이템 획득 확률 증가,1504,10,0.12
1310206,80340390,아이템 획득 확률 증가,1504,10,0.13
1310207,80340390,아이템 획득 확률 증가,1504,10,0.14
1310208,80340390,아이템 획득 확률 증가,1505,10,0.14
1310209,80340390,아이템 획득 확률 증가,1505,10,0.15
1310210,80340390,아이템 획득 확률 증가,1505,10,0.16
1310211,80340390,아이템 획득 확률 증가,1505,10,0.17
1311212,80340391,골드 획득량 증가,1501,11,0.10
1311213,80340391,골드 획득량 증가,1501,11,0.11
1311214,80340391,골드 획득량 증가,1501,11,0.12
1311215,80340391,골드 획득량 증가,1502,11,0.12
1311216,80340391,골드 획득량 증가,1502,11,0.13
1311217,80340391,골드 획득량 증가,1502,11,0.14
1311218,80340391,골드 획득량 증가,1502,11,0.15
1311219,80340391,골드 획득량 증가,1503,11,0.15
1311220,80340391,골드 획득량 증가,1503,11,0.16
1311221,80340391,골드 획득량 증가,1503,11,0.17
1311222,80340391,골드 획득량 증가,1504,11,0.17
1311223,80340391,골드 획득량 증가,1504,11,0.18
1311224,80340391,골드 획득량 증가,1504,11,0.19
1311225,80340391,골드 획득량 증가,1505,11,0.19
1311226,80340391,골드 획득량 증가,1505,11,0.20
1311227,80340391,골드 획득량 증가,1505,11,0.21
1311228,80340391,골드 획득량 증가,1505,11,0.22
1312229,80340392,파견 시간 감소,1501,12,0.05
1312230,80340392,파견 시간 감소,1501,12,0.06
1312231,80340392,파견 시간 감소,1501,12,0.07
1312232,80340392,파견 시간 감소,1502,12,0.07
1312233,80340392,파견 시간 감소,1502,12,0.08
1312234,80340392,파견 시간 감소,1502,12,0.09
1312235,80340392,파견 시간 감소,1502,12,0.10
1312236,80340392,파견 시간 감소,1503,12,0.10
1312237,80340392,파견 시간 감소,1503,12,0.11
1312238,80340392,파견 시간 감소,1503,12,0.12
1312239,80340392,파견 시간 감소,1504,12,0.12
1312240,80340392,파견 시간 감소,1504,12,0.13
1312241,80340392,파견 시간 감소,1504,12,0.14
1312242,80340392,파견 시간 감소,1505,12,0.14
1312243,80340392,파견 시간 감소,1505,12,0.15
1312244,80340392,파견 시간 감소,1505,12,0.16
1312245,80340392,파견 시간 감소,1505,12,0.17
1313246,80340393,적 공격력 감소,1501,13,0.02
1313247,80340393,적 공격력 감소,1501,13,0.03
1313248,80340393,적 공격력 감소,1501,13,0.04
1313249,80340393,적 공격력 감소,1502,13,0.04
1313250,80340393,적 공격력 감소,1502,13,0.05
1313251,80340393,적 공격력 감소,1502,13,0.06
1313252,80340393,적 공격력 감소,1502,13,0.07
1313253,80340393,적 공격력 감소,1503,13,0.07
1313254,80340393,적 공격력 감소,1503,13,0.08
1313255,80340393,적 공격력 감소,1503,13,0.09
1313256,80340393,적 공격력 감소,1504,13,0.09
1313257,80340393,적 공격력 감소,1504,13,0.10
1313258,80340393,적 공격력 감소,1504,13,0.11
1313259,80340393,적 공격력 감소,1505,13,0.11
1313260,80340393,적 공격력 감소,1505,13,0.12
1313261,80340393,적 공격력 감소,1505,13,0.13
1313262,80340393,적 공격력 감소,1505,13,0.14
1314263,80340394,적 공격 속도 감소,1501,14,0.02
1314264,80340394,적 공격 속도 감소,1501,14,0.03
1314265,80340394,적 공격 속도 감소,1501,14,0.04
1314266,80340394,적 공격 속도 감소,1502,14,0.04
1314267,80340394,적 공격 속도 감소,1502,14,0.05
1314268,80340394,적 공격 속도 감소,1502,14,0.06
1314269,80340394,적 공격 속도 감소,1502,14,0.07
1314270,80340394,적 공격 속도 감소,1503,14,0.07
1314271,80340394,적 공격 속도 감소,1503,14,0.08
1314272,80340394,적 공격 속도 감소,1503,14,0.09
1314273,80340394,적 공격 속도 감소,1504,14,0.09
1314274,80340394,적 공격 속도 감소,1504,14,0.10
1314275,80340394,적 공격 속도 감소,1504,14,0.11
1314276,80340394,적 공격 속도 감소,1505,14,0.11
1314277,80340394,적 공격 속도 감소,1505,14,0.12
1314278,80340394,적 공격 속도 감소,1505,14,0.13
1314279,80340394,적 공격 속도 감소,1505,14,0.14
1315280,80340395,적 이동 속도 감소,1501,15,0.10
1315281,80340395,적 이동 속도 감소,1501,15,0.11
1315282,80340395,적 이동 속도 감소,1501,15,0.12
1315283,80340395,적 이동 속도 감소,1502,15,0.12
1315284,80340395,적 이동 속도 감소,1502,15,0.13
1315285,80340395,적 이동 속도 감소,1502,15,0.14
1315286,80340395,적 이동 속도 감소,1502,15,0.15
1315287,80340395,적 이동 속도 감소,1503,15,0.15
1315288,80340395,적 이동 속도 감소,1503,15,0.16
1315289,80340395,적 이동 속도 감소,1503,15,0.17
1315290,80340395,적 이동 속도 감소,1504,15,0.17
1315291,80340395,적 이동 속도 감소,1504,15,0.18
1315292,80340395,적 이동 속도 감소,1504,15,0.19
1315293,80340395,적 이동 속도 감소,1505,15,0.19
1315294,80340395,적 이동 속도 감소,1505,15,0.2
1315295,80340395,적 이동 속도 감소,1505,15,0.21
1315296,80340395,적 이동 속도 감소,1505,15,0.22
1316297,80340396,보스 데미지 증가,1501,16,0.05
1316298,80340396,보스 데미지 증가,1501,16,0.06
1316299,80340396,보스 데미지 증가,1501,16,0.07
1316300,80340396,보스 데미지 증가,1502,16,0.07
1316301,80340396,보스 데미지 증가,1502,16,0.08
1316302,80340396,보스 데미지 증가,1502,16,0.09
1316303,80340396,보스 데미지 증가,1502,16,0.10
1316304,80340396,보스 데미지 증가,1503,16,0.10
1316305,80340396,보스 데미지 증가,1503,16,0.11
1316306,80340396,보스 데미지 증가,1503,16,0.12
1316307,80340396,보스 데미지 증가,1504,16,0.12
1316308,80340396,보스 데미지 증가,1504,16,0.13
1316309,80340396,보스 데미지 증가,1504,16,0.14
1316310,80340396,보스 데미지 증가,1505,16,0.14
1316311,80340396,보스 데미지 증가,1505,16,0.15
1316312,80340396,보스 데미지 증가,1505,16,0.16
1316313,80340396,보스 데미지 증가,1505,16,0.17
